Approved Symbol	Approved Name	Chromosome	Accession Numbers	Entrez Gene ID	Ensembl Gene ID	RefSeq IDs	UniProt ID(supplied by UniProt)	UCSC ID(supplied by UCSC)
UBE2D3P1	ubiquitin conjugating enzyme E2 D3 pseudogene 1	20p12.3	AL121755	100037280	ENSG00000225022	XM_001723611		
UBE2V1	ubiquitin conjugating enzyme E2 V1	20q13.13	U39360	7335	ENSG00000244687	NM_021988	Q13404	uc002xva.5
UBE2V1P1	ubiquitin conjugating enzyme E2 V1 pseudogene 1	20p13	AL117334	170556	ENSG00000226632			
UBOX5	U-box domain containing 5	20p13	AB020667	22888	ENSG00000185019	NM_014948	O94941	uc002whw.5
UBOX5-AS1	UBOX5 antisense RNA 1	20p13	AK097516	100134015	ENSG00000235958	NR_038395		uc002whv.2
UCKL1	uridine-cytidine kinase 1 like 1	20q13.33	AK000524	54963	ENSG00000198276	NM_017859	Q9NWZ5	uc011abm.3
UCKL1-AS1	UCKL1 antisense RNA 1	20q13.33	AK128497	100113386		NR_027287		uc061yql.1
UQCC1	ubiquinol-cytochrome c reductase complex assembly factor 1	20q11.22	AK001712	55245	ENSG00000101019	NM_018244	Q9NVA1	
VAPB	VAMP associated protein B and C	20q13.32	AF086628	9217	ENSG00000124164		O95292	uc002xza.4
VN1R108P	vomeronasal 1 receptor 108 pseudogene	20p11.1		100312850	ENSG00000230772			
VPS16	VPS16, CORVET/HOPS core subunit	20p13	AF308801	64601	ENSG00000215305	NM_022575	Q9H269	uc002whe.5
VSTM2L	V-set and transmembrane domain containing 2 like	20q11.23	AL109964	128434	ENSG00000132821		Q96N03	uc002xhk.5
VSX1	visual system homeobox 1	20p11.21	AF176797	30813	ENSG00000100987		Q9NZR4	uc002wuf.5
WFDC2	WAP four-disulfide core domain 2	20q13.12	X63187	10406	ENSG00000101443		Q14508	uc002xoo.4
WFDC3	WAP four-disulfide core domain 3	20q13.12	AL050348	140686	ENSG00000124116		Q8IUB2	uc002xpf.1
WFDC5	WAP four-disulfide core domain 5	20q13.12	AY038181	149708	ENSG00000175121		Q8TCV5	uc002xne.2
WFDC6	WAP four-disulfide core domain 6	20q13.12	AL031663	140870	ENSG00000243543		Q9BQY6	uc002xos.2
WFDC8	WAP four-disulfide core domain 8	20q13.12	AL031663	90199	ENSG00000158901		Q8IUA0	uc002xow.4
WFDC9	WAP four-disulfide core domain 9	20q13.12	AL031671	259240	ENSG00000180205		Q8NEX5	uc002xoy.3
WFDC10A	WAP four-disulfide core domain 10A	20q13.12	AL031671	140832	ENSG00000180305		Q9H1F0	uc002xoz.4
WFDC10B	WAP four-disulfide core domain 10B	20q13.12	AF454506	280664	ENSG00000182931		Q8IUB3	uc002xpc.4
WFDC11	WAP four-disulfide core domain 11	20q13.12	AY047609	259239	ENSG00000180083		Q8NEX6	uc061xin.1
WFDC12	WAP four-disulfide core domain 12	20q13.12	Z93016	128488	ENSG00000168703		Q8WWY7	uc002xnf.2
WFDC13	WAP four-disulfide core domain 13	20q13.11	AF454505		ENSG00000168634		Q8IUB5	uc002xpd.3
WISP2	WNT1 inducible signaling pathway protein 2	20q13.12	AF100780	8839	ENSG00000064205	NM_003881	O76076	uc061xfx.1
XKR7	XK related 7	20q11.21	AY534245	343702	ENSG00000260903	NM_001011718	Q5GH72	uc002wxe.4
XPOTP1	exportin for tRNA pseudogene 1	20q11.22	AL035458	170559	ENSG00000214185			
XRN2	5'-3' exoribonuclease 2	20p11.22	AF064257	22803	ENSG00000088930	NM_012255	Q9H0D6	uc002wsf.2
YTHDF1	YTH N6-methyladenosine RNA binding protein 1	20q13.33	AK000398	54915	ENSG00000149658	NM_017798	Q9BYJ9	uc002yeh.4
YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	20q13.12	X57346	7529	ENSG00000166913	NM_003404	P31946	uc002xmu.5
ZBP1	Z-DNA binding protein 1	20q13.31	AJ300575	81030	ENSG00000124256	NM_030776	Q9H171	uc002xyo.4
ZBTB46	zinc finger and BTB domain containing 46	20q13.33	AK131482	140685	ENSG00000130584	NM_025224	Q86UZ6	uc061ypq.1
ZBTB46-AS1	ZBTB46 antisense RNA 1	20q13.33		101928604	ENSG00000231208			
ZCCHC3	zinc finger CCHC-type containing 3	20p13	AL034548	85364	ENSG00000247315		Q9NUD5	uc032oxz.2
ZFAS1	ZNFX1 antisense RNA 1	20q13.13	AY513722, AY513723	441951	ENSG00000177410	NR_003604		uc061xqc.1
ZFP64	ZFP64 zinc finger protein	20q13.2	AK001596	55734	ENSG00000020256	NM_018197	Q9NPA5, Q9NTW7	uc002xwk.4
ZGPAT	zinc finger CCCH-type and G-patch domain containing	20q13.33	AK027878	84619	ENSG00000197114	NM_181484	Q8N5A5	uc002ygi.3
ZHX3	zinc fingers and homeoboxes 3	20q12	AB007855	23051	ENSG00000174306	NM_015035	Q9H4I2	uc002xju.2
ZMYND8	zinc finger MYND-type containing 8	20q13.12	U48251	23613	ENSG00000101040	NM_183047	Q9ULU4	uc061xnt.1
ZNF133	zinc finger protein 133	20p11.23	AK123005	7692	ENSG00000125846	NM_003434	P52736	uc032pck.2
ZNF217	zinc finger protein 217	20q13.2	AF041259	7764	ENSG00000171940	NM_006526	O75362	uc002xwq.5
ZNF334	zinc finger protein 334	20q13.12	AK001331	55713	ENSG00000198185		Q9HCZ1	uc002xsc.5
ZNF335	zinc finger protein 335	20q13.12	AK026157	63925	ENSG00000198026	NM_022095	Q9H4Z2	uc002xqw.4
ZNF337	zinc finger protein 337	20p11.21		26152	ENSG00000130684		Q9Y3M9	uc002wvc.4
ZNF337-AS1	ZNF337 antisense RNA 1	20p11.21		102724826	ENSG00000213742			
ZNF341	zinc finger protein 341	20q11.22	AK027550	84905	ENSG00000131061		Q9BYN7	uc002wzx.5
ZNF341-AS1	ZNF341 antisense RNA 1	20q11.22		101929746	ENSG00000230753			
ZNF343	zinc finger protein 343	20p13	AK096911	79175	ENSG00000088876	NM_024325	Q6P1L6	uc002wge.2
ZNF512B	zinc finger protein 512B	20q13.33	AB033022	57473	ENSG00000196700	NM_020713	Q96KM6	uc061yqm.1
ZNF663P	zinc finger protein 663, pseudogene	20q13.12		100130934	ENSG00000215452	NM_173643		
ZNF831	zinc finger protein 831	20q13.32	AL121919	128611	ENSG00000124203	NM_178457	Q5JPB2	uc002yan.4
ZNF840P	zinc finger protein 840, pseudogene	20q13.12		100533646	ENSG00000184617		A6NDX5	
ZNF877P	zinc finger protein 877, pseudogene	20p11.23			ENSG00000226875			
ZNFX1	zinc finger NFX1-type containing 1	20q13.13	AK022641	57169	ENSG00000124201	NM_021035	Q9P2E3	uc002xui.5
ZSWIM1	zinc finger SWIM-type containing 1	20q13.12	AL008726	90204	ENSG00000168612	NM_080603	Q9BR11	uc010ghi.4
ZSWIM3	zinc finger SWIM-type containing 3	20q13.12	AL008726	140831	ENSG00000132801	NM_080752	Q96MP5	uc002xqd.4
